Policy&Transfer&Payments&Avoided defo&Cost&Net cost&\\
Deforestation tax&1.098308&-0.3886&374.5196&2.8552&1.819&\\
AD: optimal&-0.266992&0.313&59.6646&5.3514&9.8629&\\
AD: historical&-0.813112&1.0552&139.5291&7.6428&13.3342&\\
