0.1174&0.0&0.0434&16.012&4.6255&\\
0.163&-0.157768&0.1937&39.1136&5.2534&\\
0.2087&-0.309468&0.3981&76.8366&5.4116&\\
0.2544&-0.521848&0.6837&109.4578&6.3274&\\
0.3&-0.600732&0.8314&104.1778&8.1106&\\
0.3457&-0.9951520000000001&1.1782&193.1189&6.1953&\\
0.3913&-1.510932&1.726&306.3647&5.6709&\\
0.437&-1.771856&1.9692&304.3431&6.5116&\\
0.4827&-2.014576&2.2112&304.326&7.3132&\\
0.5283&-2.293704&2.469&304.2617&8.163&\\
