Policy&Transfer&Payments&Avoided defo&Cost&Net cost&\\
Deforestation tax&0.0028&2.9813&17.472&202.7821&-113.1691&\\
AD: T*(1-beta)/tau&0.0&4.7978&11.9236&1763.4465&1763.4465&\\
AD: historical&0.0&4.8412&22.5976&575.5991&575.5991&\\
